Frame Class ID X Y Width Height
0 0 2 0.529583 0.690718 0.051667 0.174583
0 0 3 0.402018 0.400741 0.054609 0.154722
0 0 4 0.361719 0.625069 0.041667 0.167546
0 0 5 0.52681 0.391458 0.036589 0.157269
0 0 6 0.636563 0.527477 0.031198 0.148472
0 1 9 0.520685 0.396394 0.02201 0.034676
0 1 10 0.409366 0.396588 0.020701 0.04
1 0 2 0.528828 0.691296 0.052708 0.177222
1 0 3 0.401315 0.400579 0.054089 0.158009
1 0 4 0.361276 0.624259 0.042344 0.169444
1 0 5 0.526589 0.391829 0.037344 0.158472
1 0 6 0.636159 0.524398 0.030911 0.143426
1 1 9 0.520685 0.396002 0.02201 0.034671
1 1 10 0.40932 0.396012 0.020698 0.039995
2 0 2 0.528021 0.691551 0.052604 0.174769
2 0 3 0.401237 0.400324 0.055859 0.156759
2 0 4 0.36138 0.624421 0.041979 0.17125
2 0 5 0.526172 0.39206 0.037656 0.159583
2 0 6 0.635469 0.530278 0.032187 0.156852
2 1 9 0.520685 0.395613 0.02201 0.034671
2 1 10 0.409273 0.395433 0.020698 0.039995
3 0 2 0.527344 0.692269 0.051042 0.174722
3 0 3 0.400885 0.404028 0.056042 0.163889
3 0 4 0.361003 0.624236 0.041901 0.172361
3 0 5 0.526068 0.391782 0.037604 0.15662
3 0 6 0.635534 0.526736 0.031953 0.149306
3 1 9 0.520685 0.395225 0.02201 0.034671
3 1 10 0.409227 0.394854 0.020698 0.039995
4 0 2 0.527396 0.69294 0.049635 0.173009
4 0 3 0.400768 0.405301 0.055443 0.162361
4 0 4 0.360651 0.625787 0.04151 0.17287
4 0 5 0.525781 0.391019 0.036302 0.155648
4 0 6 0.634948 0.524722 0.031302 0.15
4 1 9 0.520685 0.394836 0.02201 0.034671
4 1 10 0.40918 0.394275 0.020698 0.039995
5 0 2 0.526992 0.693472 0.051276 0.169815
5 0 3 0.4 0.401759 0.054167 0.151574
5 0 4 0.360768 0.62456 0.040547 0.172639
5 0 5 0.525365 0.390486 0.035677 0.155509
5 0 6 0.633802 0.532593 0.032813 0.162963
5 1 9 0.520685 0.394447 0.02201 0.034671
5 1 10 0.409134 0.393699 0.020701 0.04
6 0 2 0.525534 0.694954 0.049766 0.171481
6 0 3 0.400807 0.400301 0.054427 0.151713
6 0 4 0.360755 0.623866 0.041042 0.173843
6 0 5 0.525286 0.389954 0.035 0.157222
6 0 6 0.633034 0.534792 0.032005 0.163843
6 1 9 0.520685 0.394058 0.02201 0.034671
6 1 10 0.409089 0.393123 0.020698 0.039995
7 0 2 0.524219 0.694606 0.050156 0.167454
7 0 3 0.400456 0.401157 0.053932 0.151481
7 0 4 0.360495 0.623588 0.04026 0.174769
7 0 5 0.525716 0.389815 0.035599 0.158148
7 0 6 0.632917 0.530972 0.031875 0.160278
7 1 9 0.520685 0.393669 0.02201 0.034671
7 1 10 0.409004 0.392873 0.020701 0.039995
8 0 2 0.523516 0.695417 0.049271 0.17
8 0 3 0.400586 0.40331 0.055651 0.159306
8 0 4 0.36082 0.622755 0.040339 0.175694
8 0 5 0.525937 0.390764 0.035677 0.159491
8 0 6 0.632227 0.53044 0.032995 0.161991
8 1 9 0.520685 0.393278 0.02201 0.034676
8 1 10 0.408919 0.392627 0.020698 0.039995
9 0 2 0.523607 0.693079 0.049922 0.17162
9 0 3 0.400456 0.40169 0.054974 0.16088
9 0 4 0.360638 0.622731 0.039505 0.176389
9 0 5 0.525755 0.391458 0.035052 0.158843
9 0 6 0.631133 0.535972 0.034609 0.1725
9 1 9 0.520685 0.392889 0.02201 0.034676
9 1 10 0.408836 0.392377 0.020698 0.039995
