 Frame | Yellow | Red | Blue | Green | Orange | Purple | 
----------------------------------------------------------
    2  |   0    |   0 |    0 |     0 |      0 |      0 | 
3      |    3   |   0 |    0 |     0 |      0 |      0 | 
4 | 3  | 0 | 0 | 0 | 0 | 0 | 
5 | 3  | 0 | 0 | 0 | 0 | 0 | 
6 | 3  | 0 | 0 | 0 | 0 | 0 | 
7 | 3  | 0 | 0 | 0 | 0 | 0 | 
8 | 3  | 0 | 0 | 0 | 0 | 0 | 
9 | 3  | 0 | 0 | 0 | 0 | 0 | 
10 | 3  | 0 | 0 | 0 | 0 | 0 | 
12 | 31  | 33  | 0 | 0 | 0 | 0 | 
13 | 25  | 33  | 0 | 0 | 0 | 0 | 
14 | 31  | 25  | 0 | 0 | 0 | 0 | 
15 | 31  | 33  | 0 | 0 | 25  | 0 | 
16 | 31  | 25  | 0 | 0 | 0 | 0 | 
17 | 31  | 25  | 0 | 0 | 0 | 0 | 
18 | 31  | 25  | 0 | 0 | 0 | 0 | 
19 | 31  | 0 | 0 | 0 | 25  | 0 | 
20 | 31  | 0 | 0 | 0 | 25  | 0 | 
21 | 31  | 25  | 0 | 0 | 0 | 0 | 
22 | 31  | 25  | 0 | 0 | 0 | 0 | 
23 | 31  | 25  | 0 | 0 | 0 | 0 | 
24 | 31  | 25  | 0 | 0 | 0 | 0 | 
25 | 31  | 25  | 0 | 0 | 0 | 0 | 
26 | 31  | 25  | 0 | 0 | 0 | 0 | 
27 | 25  | 0 | 0 | 0 | 0 | 0 | 
28 | 31  | 0 | 0 | 0 | 0 | 0 | 
29 | 31  | 0 | 0 | 0 | 0 | 0 | 
30 | 31  | 25  | 0 | 0 | 0 | 0 | 
31 | 31  | 0 | 0 | 0 | 0 | 0 | 
32 | 31  | 0 | 0 | 0 | 0 | 0 | 
33 | 31  | 0 | 0 | 0 | 0 | 0 | 
34 | 31  | 0 | 0 | 0 | 0 | 0 | 
35 | 31  | 0 | 0 | 0 | 0 | 0 | 
36 | 31  | 0 | 0 | 0 | 25  | 0 | 
37 | 31  | 0 | 0 | 0 | 0 | 37  | 
38 | 31  | 25  | 0 | 0 | 0 | 37  | 
39 | 31  | 25  | 0 | 0 | 0 | 37  | 
40 | 31  | 25  | 0 | 0 | 0 | 37  | 
41 | 31  | 25  | 0 | 0 | 0 | 37  | 
42 | 31  | 0 | 0 | 0 | 0 | 37  | 
43 | 31  | 0 | 0 | 0 | 0 | 0 | 
44 | 31  | 25  | 0 | 0 | 0 | 37  | 
45 | 31  | 0 | 0 | 0 | 0 | 37  | 
46 | 31  | 0 | 0 | 0 | 0 | 37  | 
47 | 31  | 0 | 0 | 0 | 25  | 37  | 
48 | 31  | 0 | 23  | 0 | 0 | 37  | 
49 | 31  | 0 | 0 | 0 | 0 | 37  | 
50 | 31  | 0 | 0 | 0 | 0 | 37  | 
51 | 31  | 0 | 0 | 0 | 0 | 37  | 
52 | 31  | 0 | 0 | 0 | 0 | 37  | 
53 | 31  | 0 | 23  | 0 | 0 | 0 | 
54 | 31  | 0 | 0 | 0 | 0 | 25  | 
55 | 31  | 0 | 0 | 0 | 0 | 0 | 
56 | 31  | 0 | 0 | 0 | 0 | 0 | 
57 | 31  | 0 | 0 | 0 | 0 | 0 | 
58 | 31  | 0 | 0 | 0 | 0 | 0 | 
59 | 31  | 0 | 0 | 0 | 0 | 0 | 
60 | 31  | 0 | 0 | 0 | 0 | 0 | 
61 | 31  | 0 | 0 | 0 | 0 | 0 | 
62 | 31  | 0 | 0 | 0 | 0 | 0 | 
63 | 31  | 0 | 25  | 0 | 0 | 0 | 
64 | 31  | 0 | 0 | 0 | 0 | 0 | 
65 | 31  | 0 | 23  | 0 | 0 | 0 | 
66 | 31  | 0 | 0 | 0 | 0 | 0 | 
67 | 31  | 0 | 0 | 0 | 0 | 0 | 
68 | 0 | 0 | 0 | 0 | 0 | 0 | 
69 | 0 | 0 | 0 | 0 | 0 | 0 | 
70 | 0 | 0 | 0 | 0 | 0 | 0 | 
71 | 0 | 0 | 0 | 0 | 0 | 0 | 
72 | 0 | 0 | 0 | 0 | 0 | 0 | 
73 | 0 | 0 | 0 | 0 | 0 | 0 | 
74 | 0 | 0 | 0 | 0 | 26  | 0 | 
75 | 0 | 0 | 0 | 0 | 0 | 26  | 
76 | 0 | 0 | 0 | 0 | 0 | 0 | 
77 | 0 | 0 | 0 | 0 | 0 | 0 | 
78 | 104  | 0 | 0 | 0 | 0 | 0 | 
79 | 104  | 0 | 0 | 0 | 0 | 0 | 
80 | 104  | 0 | 0 | 25  | 0 | 0 | 
81 | 104  | 0 | 0 | 0 | 0 | 109  | 
82 | 104  | 0 | 0 | 0 | 0 | 109  | 
83 | 104  | 0 | 0 | 0 | 0 | 109  | 
84 | 104  | 0 | 0 | 0 | 0 | 109  | 
